ID,Name,Form,Level-up moves,Tm compatibility
154,Meganium, ,1-MOVE_DRAINING_KISS | 1-MOVE_GROWL | 5-MOVE_RAZOR_LEAF | 7-MOVE_POISON_POWDER | 10-MOVE_SYNTHESIS | 13-MOVE_MAGICAL_LEAF | 16-MOVE_GRASS_WHISTLE | 17-MOVE_INGRAIN | 20-MOVE_REFRESH | 22-MOVE_MEGA_DRAIN | 25-MOVE_ANCIENT_POWER | 28-MOVE_HEAL_PULSE | 31-MOVE_NATURE_POWER | 32-MOVE_PETAL_DANCE | 34-MOVE_BODY_SLAM | 37-MOVE_NATURAL_GIFT | 40-MOVE_ENERGY_BALL | 43-MOVE_AROMATHERAPY | 46-MOVE_MAGIC_COAT | 50-MOVE_SOLAR_BEAM | 54-MOVE_LEECH_SEED | 58-MOVE_MOONBLAST | 62-MOVE_LEAF_STORM | 66-MOVE_HEALING_WISH,TM32-MOVE_DAZZLING_GLEAM | TM85-MOVE_PLAY_ROUGH
155,Cyndaquil, ,1-MOVE_TACKLE | 1-MOVE_LEER | 5-MOVE_EMBER | 7-MOVE_SMOKESCREEN | 10-MOVE_QUICK_ATTACK | 13-MOVE_FLAME_WHEEL | 16-MOVE_DEFENSE_CURL | 20-MOVE_REVERSAL | 22-MOVE_FLAME_BURST | 25-MOVE_ROLLOUT | 28-MOVE_SWIFT | 31-MOVE_CRUSH_CLAW | 34-MOVE_BODY_SLAM | 37-MOVE_WORK_UP | 40-MOVE_NATURE_POWER | 43-MOVE_INFERNO | 46-MOVE_EXTRASENSORY | 49-MOVE_MYSTICAL_FIRE,
156,Quilava, ,1-MOVE_TACKLE | 1-MOVE_LEER | 5-MOVE_EMBER | 7-MOVE_SMOKESCREEN | 10-MOVE_QUICK_ATTACK | 13-MOVE_FLAME_WHEEL | 14-MOVE_DOUBLE_KICK | 16-MOVE_DEFENSE_CURL | 20-MOVE_REVERSAL | 22-MOVE_FLAME_BURST | 25-MOVE_ROLLOUT | 28-MOVE_SWIFT | 31-MOVE_CRUSH_CLAW | 34-MOVE_BODY_SLAM | 37-MOVE_WORK_UP | 40-MOVE_NATURE_POWER | 43-MOVE_INFERNO | 46-MOVE_EXTRASENSORY | 49-MOVE_MYSTICAL_FIRE | 52-MOVE_DOUBLE_EDGE | 55-MOVE_FLARE_BLITZ,
157,Typhlosion, ,1-MOVE_TACKLE | 1-MOVE_LEER | 5-MOVE_EMBER | 7-MOVE_SMOKESCREEN | 10-MOVE_QUICK_ATTACK | 13-MOVE_FLAME_WHEEL | 14-MOVE_DOUBLE_KICK | 16-MOVE_DEFENSE_CURL | 20-MOVE_REVERSAL | 22-MOVE_FLAME_BURST | 25-MOVE_ROLLOUT | 28-MOVE_SWIFT | 31-MOVE_CRUSH_CLAW | 34-MOVE_BODY_SLAM | 36-MOVE_LAVA_PLUME | 37-MOVE_FOCUS_PUNCH | 40-MOVE_NATURE_POWER | 43-MOVE_INFERNO | 46-MOVE_EXTRASENSORY | 50-MOVE_SCORCHING_SANDS | 54-MOVE_MYSTICAL_FIRE | 58-MOVE_FLARE_BLITZ | 63-MOVE_DOUBLE_EDGE | 68-MOVE_EARTH_POWER | 77-MOVE_ERUPTION,TM48-MOVE_MYSTICAL_FIRE
158,Totodile, ,1-MOVE_SCRATCH | 1-MOVE_LEER | 5-MOVE_WATER_GUN | 7-MOVE_RAGE | 10-MOVE_BITE | 13-MOVE_SCARY_FACE | 16-MOVE_ICE_FANG | 20-MOVE_METAL_CLAW | 22-MOVE_AVALANCHE | 25-MOVE_ROCK_TOMB | 28-MOVE_RAGING_FURY | 31-MOVE_SLASH | 31-MOVE_NIGHT_SLASH | 34-MOVE_HONE_CLAWS | 37-MOVE_CHIP_AWAY | 40-MOVE_AGILITY | 43-MOVE_FAKE_TEARS | 46-MOVE_HYDRO_PUMP | 49-MOVE_WAVE_CRASH,TM02-MOVE_DRAGON_CLAW | TM51-MOVE_WAVE_CRASH
159,Croconaw, ,1-MOVE_SCRATCH | 1-MOVE_LEER | 5-MOVE_WATER_GUN | 7-MOVE_RAGE | 10-MOVE_BITE | 13-MOVE_SCARY_FACE | 16-MOVE_ICE_FANG | 18-MOVE_AQUA_JET | 20-MOVE_METAL_CLAW | 22-MOVE_AVALANCHE | 25-MOVE_ROCK_TOMB | 28-MOVE_RAGING_FURY | 31-MOVE_SLASH | 31-MOVE_NIGHT_SLASH | 34-MOVE_HONE_CLAWS | 37-MOVE_CHIP_AWAY | 40-MOVE_AGILITY | 43-MOVE_FAKE_TEARS | 46-MOVE_HYDRO_PUMP | 49-MOVE_WAVE_CRASH | 52-MOVE_DRAGON_RUSH | 55-MOVE_PSYCHIC_FANGS,TM02-MOVE_DRAGON_CLAW | TM51-MOVE_WAVE_CRASH
160,Feraligatr, ,1-MOVE_FOCUS_PUNCH | 1-MOVE_SCRATCH | 5-MOVE_WATER_GUN | 7-MOVE_RAGE | 10-MOVE_BITE | 13-MOVE_SCARY_FACE | 16-MOVE_ICE_FANG | 18-MOVE_AQUA_JET | 20-MOVE_METAL_CLAW | 22-MOVE_AVALANCHE | 25-MOVE_ROCK_TOMB | 28-MOVE_RAGING_FURY | 30-MOVE_AQUA_TAIL | 31-MOVE_SLASH | 31-MOVE_NIGHT_SLASH | 34-MOVE_HONE_CLAWS | 37-MOVE_CHIP_AWAY | 40-MOVE_AGILITY | 43-MOVE_FAKE_TEARS | 46-MOVE_HYDRO_PUMP | 50-MOVE_WAVE_CRASH | 54-MOVE_DRAGON_RUSH | 58-MOVE_PSYCHIC_FANGS | 62-MOVE_CRUNCH | 66-MOVE_DRAGON_DANCE,TM51-MOVE_WAVE_CRASH
161,Sentret, ,1-MOVE_DEFENSE_CURL | 1-MOVE_GROWL | 1-MOVE_SCRATCH | 4-MOVE_QUICK_ATTACK | 7-MOVE_FOLLOW_ME | 10-MOVE_CHARM | 12-MOVE_FURY_SWIPES | 14-MOVE_PURSUIT | 16-MOVE_COVET | 18-MOVE_HYPER_FANG | 20-MOVE_FOCUS_ENERGY | 23-MOVE_ME_FIRST | 26-MOVE_FLAME_WHEEL | 29-MOVE_TAIL_SLAP | 32-MOVE_HELPING_HAND | 35-MOVE_SUCKER_PUNCH | 38-MOVE_REVERSAL | 42-MOVE_AMNESIA | 46-MOVE_FOCUS_PUNCH | 50-MOVE_BATON_PASS | 54-MOVE_DOUBLE_EDGE | 58-MOVE_LAST_RESORT,TM60-MOVE_QUASH
162,Furret, ,1-MOVE_DEFENSE_CURL | 1-MOVE_GROWL | 1-MOVE_SCRATCH | 4-MOVE_QUICK_ATTACK | 7-MOVE_FOLLOW_ME | 10-MOVE_CHARM | 12-MOVE_FURY_SWIPES | 14-MOVE_PURSUIT | 15-MOVE_AGILITY | 17-MOVE_COVET | 19-MOVE_HYPER_FANG | 21-MOVE_FOCUS_ENERGY | 23-MOVE_ME_FIRST | 25-MOVE_COIL | 27-MOVE_FLAME_WHEEL | 29-MOVE_TAIL_SLAP | 32-MOVE_HELPING_HAND | 36-MOVE_SUCKER_PUNCH | 40-MOVE_SUPER_FANG | 44-MOVE_REVERSAL | 48-MOVE_AMNESIA | 52-MOVE_FOCUS_PUNCH | 56-MOVE_BATON_PASS | 60-MOVE_DOUBLE_EDGE | 64-MOVE_LAST_RESORT,TM60-MOVE_QUASH | TM85-MOVE_PLAY_ROUGH
163,Hoothoot, ,1-MOVE_FORESIGHT | 1-MOVE_GROWL | 1-MOVE_MEAN_LOOK | 1-MOVE_TACKLE | 4-MOVE_PECK | 7-MOVE_CONFUSION | 10-MOVE_MIRROR_MOVE | 13-MOVE_NIGHT_SHADE | 16-MOVE_UPROAR | 19-MOVE_HYPNOSIS | 22-MOVE_AIR_CUTTER | 25-MOVE_DREAM_EATER | 28-MOVE_WHIRLWIND | 31-MOVE_EXTRASENSORY | 34-MOVE_FEATHER_DANCE | 37-MOVE_AGILITY | 40-MOVE_SYNCHRONOISE | 43-MOVE_TAILWIND | 46-MOVE_MOONBLAST | 50-MOVE_AIR_SLASH | 54-MOVE_ESPER_WING | 58-MOVE_SKY_ATTACK,TM70-MOVE_FLASH
164,Noctowl, ,1-MOVE_FUTURE_SIGHT | 1-MOVE_NASTY_PLOT | 1-MOVE_FORESIGHT | 1-MOVE_GROWL | 1-MOVE_MEAN_LOOK | 1-MOVE_TACKLE | 4-MOVE_PECK | 7-MOVE_CONFUSION | 10-MOVE_MIRROR_MOVE | 13-MOVE_NIGHT_SHADE | 16-MOVE_UPROAR | 19-MOVE_HYPNOSIS | 20-MOVE_STORED_POWER | 23-MOVE_AIR_CUTTER | 26-MOVE_DREAM_EATER | 29-MOVE_WHIRLWIND | 32-MOVE_EXTRASENSORY | 35-MOVE_FEATHER_DANCE | 38-MOVE_AGILITY | 42-MOVE_SYNCHRONOISE | 46-MOVE_TAILWIND | 50-MOVE_MOONBLAST | 54-MOVE_AIR_SLASH | 58-MOVE_ESPER_WING | 62-MOVE_SKY_ATTACK,TM48-MOVE_MYSTICAL_FIRE | TM70-MOVE_FLASH
165,Ledyba, ,1-MOVE_STRING_SHOT | 1-MOVE_SWIFT | 1-MOVE_GUST | 5-MOVE_STRUGGLE_BUG | 7-MOVE_SAFEGUARD | 9-MOVE_MACH_PUNCH | 12-MOVE_COUNTER | 14-MOVE_SILVER_WIND | 16-MOVE_AERIAL_ACE | 18-MOVE_PSYBEAM | 20-MOVE_BUG_BITE | 22-MOVE_REFLECT | 22-MOVE_LIGHT_SCREEN | 24-MOVE_LUNGE | 26-MOVE_FLING | 28-MOVE_TAILWIND | 31-MOVE_DRAIN_PUNCH | 34-MOVE_AIR_SLASH | 37-MOVE_KNOCK_OFF | 40-MOVE_FOCUS_PUNCH | 44-MOVE_SMART_STRIKE | 48-MOVE_BATON_PASS | 52-MOVE_ENCORE | 56-MOVE_DUAL_WINGBEAT,TM76-MOVE_BUG_BUZZ
166,Ledian, ,1-MOVE_METEOR_MASH | 1-MOVE_STRING_SHOT | 1-MOVE_SWIFT | 1-MOVE_GUST | 5-MOVE_STRUGGLE_BUG | 7-MOVE_SAFEGUARD | 9-MOVE_MACH_PUNCH | 12-MOVE_COUNTER | 14-MOVE_SILVER_WIND | 16-MOVE_AERIAL_ACE | 18-MOVE_PSYBEAM | 21-MOVE_BUG_BITE | 23-MOVE_REFLECT | 23-MOVE_LIGHT_SCREEN | 25-MOVE_LUNGE | 27-MOVE_FLING | 29-MOVE_TAILWIND | 32-MOVE_DRAIN_PUNCH | 36-MOVE_AIR_SLASH | 40-MOVE_KNOCK_OFF | 44-MOVE_FOCUS_PUNCH | 48-MOVE_SMART_STRIKE | 52-MOVE_BATON_PASS | 56-MOVE_ENCORE | 60-MOVE_DUAL_WINGBEAT,TM76-MOVE_BUG_BUZZ | HM02-MOVE_FLY
167,Spinarak, ,1-MOVE_ABSORB | 1-MOVE_SCARY_FACE | 1-MOVE_POISON_STING | 4-MOVE_FURY_SWIPES | 7-MOVE_TWINEEDLE | 10-MOVE_STRING_SHOT | 13-MOVE_NIGHT_SHADE | 16-MOVE_POISON_FANG | 19-MOVE_SHADOW_SNEAK | 22-MOVE_LUNGE | 24-MOVE_ELECTROWEB | 26-MOVE_RAGE_POWDER | 28-MOVE_SUCKER_PUNCH | 30-MOVE_TOXIC_SPIKES | 32-MOVE_SLASH | 32-MOVE_NIGHT_SLASH | 35-MOVE_PIN_MISSILE | 38-MOVE_CROSS_POISON | 42-MOVE_LEECH_LIFE | 46-MOVE_AGILITY | 50-MOVE_FOUL_PLAY | 54-MOVE_MEGAHORN,TM60-MOVE_QUASH | TM76-MOVE_BUG_BUZZ
168,Ariados, ,1-MOVE_PSYCHIC_FANGS | 1-MOVE_SCARY_FACE | 1-MOVE_POISON_STING | 4-MOVE_FURY_SWIPES | 7-MOVE_TWINEEDLE | 10-MOVE_STRING_SHOT | 13-MOVE_NIGHT_SHADE | 16-MOVE_POISON_FANG | 19-MOVE_SHADOW_SNEAK | 22-MOVE_LUNGE | 22-MOVE_SPIDER_WEB | 23-MOVE_DISABLE | 25-MOVE_ELECTROWEB | 27-MOVE_RAGE_POWDER | 29-MOVE_SUCKER_PUNCH | 31-MOVE_TOXIC_SPIKES | 33-MOVE_SLASH | 33-MOVE_NIGHT_SLASH | 36-MOVE_PIN_MISSILE | 40-MOVE_CROSS_POISON | 44-MOVE_LEECH_LIFE | 48-MOVE_AGILITY | 52-MOVE_FOUL_PLAY | 56-MOVE_SMART_STRIKE | 60-MOVE_MEGAHORN,TM60-MOVE_QUASH | TM76-MOVE_BUG_BUZZ
169,Crobat, ,1-MOVE_CROSS_POISON | 1-MOVE_DUAL_WINGBEAT | 1-MOVE_GUST | 1-MOVE_SCREECH | 1-MOVE_QUICK_ATTACK | 4-MOVE_POISON_STING | 7-MOVE_BITE | 10-MOVE_WING_ATTACK | 13-MOVE_CONFUSE_RAY | 16-MOVE_POISON_FANG | 19-MOVE_SWIFT | 22-MOVE_MEAN_LOOK | 26-MOVE_FEINT_ATTACK | 31-MOVE_AIR_CUTTER | 34-MOVE_HAZE | 37-MOVE_WHIRLWIND | 40-MOVE_ZEN_HEADBUTT | 44-MOVE_SUPER_FANG | 48-MOVE_NASTY_PLOT | 52-MOVE_LEECH_LIFE | 56-MOVE_HYPNOSIS | 60-MOVE_AIR_SLASH | 64-MOVE_WIDE_GUARD | 68-MOVE_BRAVE_BIRD,
170,Chinchou, ,1-MOVE_MIST | 1-MOVE_SUPERSONIC | 1-MOVE_WATER_GUN | 1-MOVE_WHIRLPOOL | 4-MOVE_SPARK | 7-MOVE_CONFUSE_RAY | 10-MOVE_SHOCK_WAVE | 13-MOVE_WATER_PULSE | 16-MOVE_THUNDER_WAVE | 19-MOVE_CHARGE_BEAM | 22-MOVE_BUBBLE_BEAM | 25-MOVE_SIGNAL_BEAM | 28-MOVE_PSYBEAM | 31-MOVE_AQUA_RING | 34-MOVE_SOAK | 37-MOVE_AMNESIA | 40-MOVE_HEAL_BELL | 44-MOVE_DISCHARGE | 48-MOVE_TAKE_DOWN | 52-MOVE_AGILITY | 56-MOVE_HYDRO_PUMP,
171,Lanturn, ,1-MOVE_ELECTRO_BALL | 1-MOVE_MIST | 1-MOVE_SUPERSONIC | 1-MOVE_WATER_GUN | 1-MOVE_WHIRLPOOL | 4-MOVE_SPARK | 7-MOVE_CONFUSE_RAY | 10-MOVE_SHOCK_WAVE | 13-MOVE_WATER_PULSE | 16-MOVE_THUNDER_WAVE | 19-MOVE_CHARGE_BEAM | 22-MOVE_BUBBLE_BEAM | 25-MOVE_SIGNAL_BEAM | 27-MOVE_CHARGE | 29-MOVE_PSYBEAM | 32-MOVE_AQUA_RING | 35-MOVE_SOAK | 38-MOVE_AMNESIA | 41-MOVE_MUDDY_WATER | 44-MOVE_HEAL_BELL | 48-MOVE_DISCHARGE | 52-MOVE_TAKE_DOWN | 56-MOVE_AGILITY | 60-MOVE_HYDRO_PUMP | 64-MOVE_TAIL_GLOW,TM20-MOVE_TRI_ATTACK | TM32-MOVE_DAZZLING_GLEAM
172,Pichu, ,1-MOVE_DOUBLE_SLAP | 1-MOVE_QUICK_ATTACK | 1-MOVE_TAIL_WHIP | 1-MOVE_THUNDER_SHOCK | 3-MOVE_CHARGE | 6-MOVE_SING | 8-MOVE_TICKLE | 10-MOVE_DISARMING_VOICE | 12-MOVE_SPARK | 14-MOVE_WISH | 16-MOVE_THUNDER_WAVE | 18-MOVE_FAKE_OUT | 20-MOVE_PRESENT,HM03-MOVE_SURF
173,Cleffa, ,1-MOVE_POUND | 1-MOVE_CHARM | 1-MOVE_DISARMING_VOICE | 1-MOVE_METRONOME | 4-MOVE_FAKE_TEARS | 7-MOVE_SING | 11-MOVE_COPYCAT | 16-MOVE_MAGICAL_LEAF | 21-MOVE_DRAINING_KISS,
174,Igglybuff, ,1-MOVE_SING | 1-MOVE_CHARM | 1-MOVE_DISARMING_VOICE | 1-MOVE_DEFENSE_CURL | 4-MOVE_POUND | 7-MOVE_METRONOME | 11-MOVE_COPYCAT | 17-MOVE_DRAINING_KISS,
175,Togepi, ,1-MOVE_GROWL | 1-MOVE_POUND | 1-MOVE_PRESENT | 4-MOVE_AFTER_YOU | 7-MOVE_PECK | 10-MOVE_YAWN | 13-MOVE_STORED_POWER | 16-MOVE_DISARMING_VOICE | 19-MOVE_METRONOME | 22-MOVE_MIRROR_MOVE | 25-MOVE_SAFEGUARD | 28-MOVE_ANCIENT_POWER | 31-MOVE_SMART_STRIKE | 34-MOVE_CHARM | 37-MOVE_WISH | 40-MOVE_FOLLOW_ME | 43-MOVE_DRAINING_KISS | 46-MOVE_BATON_PASS | 49-MOVE_DOUBLE_EDGE | 52-MOVE_MOONBLAST | 55-MOVE_LAST_RESORT,
176,Togetic, ,1-MOVE_FUTURE_SIGHT | 1-MOVE_MAGICAL_LEAF | 1-MOVE_PRESENT | 4-MOVE_AFTER_YOU | 7-MOVE_PECK | 10-MOVE_YAWN | 13-MOVE_STORED_POWER | 16-MOVE_DISARMING_VOICE | 19-MOVE_METRONOME | 22-MOVE_MIRROR_MOVE | 25-MOVE_SAFEGUARD | 28-MOVE_ANCIENT_POWER | 31-MOVE_SMART_STRIKE | 34-MOVE_CHARM | 36-MOVE_AIR_CUTTER | 40-MOVE_WISH | 43-MOVE_FOLLOW_ME | 46-MOVE_DRAINING_KISS | 49-MOVE_BATON_PASS | 52-MOVE_DOUBLE_EDGE | 55-MOVE_EXTRASENSORY | 58-MOVE_AIR_SLASH | 61-MOVE_MOONBLAST | 64-MOVE_LAST_RESORT | 68-MOVE_NASTY_PLOT,TM20-MOVE_TRI_ATTACK | TM58-MOVE_HURRICANE
177,Natu, ,1-MOVE_LEER | 1-MOVE_PECK | 1-MOVE_QUICK_ATTACK | 4-MOVE_LUCKY_CHANT | 7-MOVE_NIGHT_SHADE | 10-MOVE_REFRESH | 13-MOVE_CONFUSION | 16-MOVE_WISH | 19-MOVE_AIR_CUTTER | 22-MOVE_OMINOUS_WIND | 25-MOVE_FUTURE_SIGHT | 28-MOVE_FEATHER_DANCE | 31-MOVE_DUAL_WINGBEAT | 34-MOVE_SIMPLE_BEAM | 37-MOVE_TAILWIND | 40-MOVE_PAIN_SPLIT | 44-MOVE_SYNCHRONOISE | 48-MOVE_AIR_SLASH | 52-MOVE_ESPER_WING | 56-MOVE_COSMIC_POWER,
178,Xatu, ,1-MOVE_HAZE | 1-MOVE_SKILL_SWAP | 1-MOVE_TRICK | 1-MOVE_LEER | 1-MOVE_PECK | 1-MOVE_QUICK_ATTACK | 4-MOVE_LUCKY_CHANT | 7-MOVE_NIGHT_SHADE | 10-MOVE_REFRESH | 13-MOVE_CONFUSION | 16-MOVE_WISH | 19-MOVE_AIR_CUTTER | 22-MOVE_OMINOUS_WIND | 25-MOVE_FUTURE_SIGHT | 26-MOVE_MIRACLE_EYE | 29-MOVE_FEATHER_DANCE | 32-MOVE_DUAL_WINGBEAT | 35-MOVE_SIMPLE_BEAM | 38-MOVE_TAILWIND | 42-MOVE_PAIN_SPLIT | 46-MOVE_SYNCHRONOISE | 50-MOVE_AIR_SLASH | 54-MOVE_ESPER_WING | 58-MOVE_COSMIC_POWER | 62-MOVE_FOUL_PLAY,TM46-MOVE_AURA_SPHERE | TM48-MOVE_MYSTICAL_FIRE | TM58-MOVE_HURRICANE
179,Mareep, ,1-MOVE_CHARGE | 1-MOVE_COTTON_SPORE | 1-MOVE_GROWL | 4-MOVE_TACKLE | 6-MOVE_THUNDER_SHOCK | 8-MOVE_SAND_ATTACK | 10-MOVE_SWIFT | 12-MOVE_THUNDER_WAVE | 14-MOVE_ELECTROWEB | 16-MOVE_SEISMIC_TOSS | 18-MOVE_ELECTRO_BALL | 20-MOVE_SIGNAL_BEAM | 23-MOVE_HEAL_BELL | 26-MOVE_DISCHARGE | 29-MOVE_CONFUSE_RAY | 32-MOVE_AGILITY | 36-MOVE_TAKE_DOWN | 40-MOVE_CHARGE_BEAM | 44-MOVE_SCREECH | 48-MOVE_BODY_SLAM | 52-MOVE_NUZZLE | 56-MOVE_DOUBLE_EDGE | 60-MOVE_ZAP_CANNON,TM66-MOVE_POWER_GEM
180,Flaaffy, ,1-MOVE_CHARGE | 1-MOVE_COTTON_SPORE | 1-MOVE_GROWL | 4-MOVE_TACKLE | 6-MOVE_THUNDER_SHOCK | 8-MOVE_SAND_ATTACK | 10-MOVE_SWIFT | 12-MOVE_THUNDER_WAVE | 14-MOVE_ELECTROWEB | 15-MOVE_COTTON_GUARD | 16-MOVE_SEISMIC_TOSS | 18-MOVE_ELECTRO_BALL | 20-MOVE_SIGNAL_BEAM | 23-MOVE_HEAL_BELL | 26-MOVE_DISCHARGE | 29-MOVE_CONFUSE_RAY | 33-MOVE_AGILITY | 37-MOVE_TAKE_DOWN | 41-MOVE_CHARGE_BEAM | 45-MOVE_FOCUS_PUNCH | 49-MOVE_BODY_SLAM | 53-MOVE_NUZZLE | 57-MOVE_DOUBLE_EDGE | 62-MOVE_ZAP_CANNON,TM66-MOVE_POWER_GEM
181,Ampharos, ,1-MOVE_COTTON_SPORE | 1-MOVE_GROWL | 4-MOVE_TACKLE | 6-MOVE_THUNDER_SHOCK | 8-MOVE_SAND_ATTACK | 10-MOVE_SWIFT | 12-MOVE_THUNDER_WAVE | 14-MOVE_ELECTROWEB | 15-MOVE_COTTON_GUARD | 16-MOVE_SEISMIC_TOSS | 18-MOVE_ELECTRO_BALL | 20-MOVE_SIGNAL_BEAM | 23-MOVE_HEAL_BELL | 26-MOVE_DISCHARGE | 29-MOVE_CONFUSE_RAY | 30-MOVE_BREAKING_SWIPE | 34-MOVE_AGILITY | 38-MOVE_TAKE_DOWN | 42-MOVE_DRAGON_BREATH | 46-MOVE_FOCUS_PUNCH | 50-MOVE_BODY_SLAM | 54-MOVE_NUZZLE | 59-MOVE_DOUBLE_EDGE | 63-MOVE_ZAP_CANNON | 68-MOVE_TAIL_GLOW,TM32-MOVE_DAZZLING_GLEAM | TM53-MOVE_ENERGY_BALL | TM66-MOVE_POWER_GEM | TM91-MOVE_FLASH_CANNON | Tutor-MOVE_DRACO_METEOR
182,Bellossom, ,1-MOVE_DRAIN_PUNCH | 1-MOVE_EARTH_POWER | 1-MOVE_GROWTH | 1-MOVE_LEAF_BLADE | 1-MOVE_POISON_POWDER | 1-MOVE_SLEEP_POWDER | 1-MOVE_STUN_SPORE | 1-MOVE_TEETER_DANCE | 25-MOVE_FIERY_DANCE | 30-MOVE_LEAF_TORNADO | 36-MOVE_MEGA_DRAIN | 42-MOVE_MOONBLAST | 48-MOVE_PETAL_DANCE | 58-MOVE_QUIVER_DANCE | 68-MOVE_LEAF_STORM,
183,Marill, ,1-MOVE_SPLASH | 1-MOVE_TACKLE | 1-MOVE_DEFENSE_CURL | 1-MOVE_TAIL_WHIP | 3-MOVE_WATER_GUN | 6-MOVE_SING | 8-MOVE_TICKLE | 10-MOVE_DISARMING_VOICE | 12-MOVE_BUBBLE_BEAM | 14-MOVE_CHARM | 16-MOVE_WHIRLPOOL | 18-MOVE_AQUA_JET | 21-MOVE_HELPING_HAND | 24-MOVE_COVET | 27-MOVE_SOAK | 30-MOVE_AQUA_TAIL | 33-MOVE_BODY_SLAM | 36-MOVE_FUTURE_SIGHT | 39-MOVE_AMNESIA | 42-MOVE_BOUNCE | 45-MOVE_BELLY_DRUM | 48-MOVE_PLAY_ROUGH | 51-MOVE_PERISH_SONG | 54-MOVE_HYDRO_PUMP,
184,Azumarill, ,1-MOVE_CURSE | 1-MOVE_REFRESH | 1-MOVE_TACKLE | 1-MOVE_TAIL_WHIP | 3-MOVE_WATER_GUN | 6-MOVE_SING | 8-MOVE_TICKLE | 10-MOVE_DISARMING_VOICE | 12-MOVE_BUBBLE_BEAM | 14-MOVE_CHARM | 16-MOVE_WHIRLPOOL | 18-MOVE_AQUA_JET | 21-MOVE_HELPING_HAND | 21-MOVE_ROLLOUT | 25-MOVE_COVET | 29-MOVE_SOAK | 33-MOVE_AQUA_TAIL | 37-MOVE_BODY_SLAM | 41-MOVE_FUTURE_SIGHT | 45-MOVE_AMNESIA | 49-MOVE_BOUNCE | 53-MOVE_BELLY_DRUM | 57-MOVE_PLAY_ROUGH | 61-MOVE_PERISH_SONG | 65-MOVE_HYDRO_PUMP,
185,Sudowoodo, ,1-MOVE_WOOD_HAMMER | 1-MOVE_COPYCAT | 1-MOVE_ROCK_THROW | 1-MOVE_TICKLE | 4-MOVE_ROLLOUT | 7-MOVE_MIMIC | 10-MOVE_DISARMING_VOICE | 13-MOVE_HEADBUTT | 16-MOVE_SANDSTORM | 19-MOVE_ROCK_TOMB | 22-MOVE_FOUL_PLAY | 25-MOVE_SUCKER_PUNCH | 26-MOVE_FIRE_PUNCH | 26-MOVE_ICE_PUNCH | 26-MOVE_THUNDER_PUNCH | 29-MOVE_STONE_EDGE | 32-MOVE_COUNTER | 36-MOVE_HAMMER_ARM | 40-MOVE_STEALTH_ROCK | 44-MOVE_ROLE_PLAY | 48-MOVE_FAKE_TEARS | 52-MOVE_HEAD_SMASH | 56-MOVE_CURSE | 60-MOVE_DOUBLE_EDGE | 64-MOVE_BATON_PASS,TM47-MOVE_LOW_SWEEP
186,Politoed, ,1-MOVE_BELLY_DRUM | 1-MOVE_BUBBLE_BEAM | 1-MOVE_HYPNOSIS | 1-MOVE_PERISH_SONG | 15-MOVE_MIND_READER | 25-MOVE_REFRESH | 35-MOVE_HELPING_HAND | 40-MOVE_BODY_SLAM | 45-MOVE_BOUNCE | 50-MOVE_RAIN_DANCE | 55-MOVE_HYPER_VOICE | 60-MOVE_HYDRO_PUMP,TM51-MOVE_WAVE_CRASH
187,Hoppip, ,1-MOVE_SPLASH | 1-MOVE_SYNTHESIS | 1-MOVE_ABSORB | 4-MOVE_TACKLE | 6-MOVE_BULLET_SEED | 8-MOVE_GUST | 10-MOVE_STUN_SPORE | 12-MOVE_MEGA_DRAIN | 14-MOVE_WORRY_SEED | 16-MOVE_POISON_POWDER | 16-MOVE_SLEEP_POWDER | 16-MOVE_RAGE_POWDER | 19-MOVE_ACROBATICS | 22-MOVE_CONFUSION | 24-MOVE_LEECH_SEED | 26-MOVE_AROMATHERAPY | 28-MOVE_LEAF_TORNADO | 31-MOVE_AIR_CUTTER | 34-MOVE_COTTON_GUARD | 37-MOVE_HELPING_HAND | 40-MOVE_ENERGY_BALL | 43-MOVE_AMNESIA | 46-MOVE_AIR_SLASH | 50-MOVE_TAILWIND | 54-MOVE_MEMENTO,
188,Skiploom, ,1-MOVE_SPLASH | 1-MOVE_SYNTHESIS | 4-MOVE_TACKLE | 6-MOVE_BULLET_SEED | 8-MOVE_GUST | 10-MOVE_STUN_SPORE | 12-MOVE_MEGA_DRAIN | 14-MOVE_WORRY_SEED | 16-MOVE_POISON_POWDER | 16-MOVE_SLEEP_POWDER | 16-MOVE_RAGE_POWDER | 18-MOVE_COTTON_SPORE | 20-MOVE_ACROBATICS | 23-MOVE_CONFUSION | 25-MOVE_LEECH_SEED | 27-MOVE_AROMATHERAPY | 29-MOVE_LEAF_TORNADO | 32-MOVE_AIR_CUTTER | 35-MOVE_COTTON_GUARD | 38-MOVE_HELPING_HAND | 41-MOVE_ENERGY_BALL | 44-MOVE_AMNESIA | 48-MOVE_AIR_SLASH | 52-MOVE_TAILWIND | 56-MOVE_MEMENTO,
